Id_INVAS_COMPLETO,Grupo,Orden filogenetico,familia,Nombre cientifico,Ambiente,Origen,Presencia,Estatus,Ficha,Instrumento legal,Enciclovida 2020,enciclovida_id
524INVAS,Plantas,4,Asparagaceae,Cordyline fruticosa,Terrestre,Exótica,Presente,,,,,192458
548INVAS,Plantas,4,Cupressaceae,Cupressus sempervirens,Terrestre,Exótica,Presente,,,,,171611
573INVAS,Virus y bacterias,2,Chlamydiaceae,Chlamydia psittaci,Terrestre,Exótica,Presente,Invasora,,Lista oficial invasoras México,,
586INVAS,Insectos,12,Tephritidae,Dacus ciliatus,Terrestre,Exótica,Ausente,Invasora,,,,
587INVAS,Plantas,4,Leguminosae,Dalbergia melanoxylon,Terrestre,Exótica,Ausente,,,,,292218
630INVAS,Plantas,4,Boraginaceae,Echium plantagineum,Terrestre,Exótica,Ausente,Invasora,X,,,279387
670INVAS,Moluscos,13,Spiraxidae,Euglandina rosea,Terrestre,Nativa,Presente,Invasora,,,,252688
673INVAS,Insectos,12,Curculionidae,Euwallacea destruens,Terrestre,Exótica,Ausente,Invasora,,,,290516
674INVAS,Insectos,12,Curculionidae,Euwallacea piceus,Terrestre,Exótica,Ausente,Invasora,,,,290517
677INVAS,Plantas,4,Polygonaceae,Fallopia japonica,Terrestre,Exótica,Ausente,Invasora,X,Lista oficial invasoras México,,230024
715INVAS,Plantas,4,Malvaceae,Gossypium barbadense,Terrestre,Exótica,Presente,,,,,165205
721INVAS,Insectos,12,Tortricidae,Grapholita molesta,Terrestre,Exótica,Ausente (erradicada),Invasora,,Plagas bajo vigilancia Senasica 2025,,279458
741INVAS,Plantas,4,Asteraceae,Helianthus tuberosus,Terrestre,Exótica,Ausente,Invasora,X,,,279398
774INVAS,Insectos,12,Ixodidae,Hyalomma truncatum,Terrestre,Exótica,Ausente,,,,,280130
812INVAS,Virus y bacterias,3,Microbacteriaceae,Leifsonia xyli xyli,Terrestre,Exótica,Presente,Invasora,,,,
816INVAS,Plantas,4,Lamiaceae,Leonurus japonicus,Terrestre,Exótica,Presente,Invasora,X,,,164495
837INVAS,Plantas,4,Poaceae,Lolium rigidum,Terrestre,Exótica,Ausente,Invasora,X,,,279405
896INVAS,Plantas,4,Commelinaceae,Murdannia nudiflora,Terrestre,Exótica,Presente,,,,,159343
909INVAS,Plantas,4,Haloragaceae,Myriophyllum heterophyllum,Dulceacuícola,Nativa,Presente,Invasora,X,,,164303
968INVAS,Plantas,4,Poaceae,Paspalum conjugatum,Terrestre,Nativa,Presente,Invasora,X,,,173934
972INVAS,Plantas,4,Paulowniaceae,Paulownia tomentosa,Terrestre,Exótica,Presente,Invasora,X,,,252260
991INVAS,Hongos,1,Phakopsoraceae,Phakopsora euvitis,Terrestre,Exótica,Ausente,Invasora,,Plagas bajo vigilancia Senasica 2025,,280077
995INVAS,Insectos,12,Formicidae,Pheidole megacephala,Terrestre,Exótica,Presente,Invasora,X,,,99133
997INVAS,Insectos,12,Pseudococcidae,Phenacoccus solenopsis,Terrestre,Exótica,Presente,Invasora,,,,122402
1003INVAS,Insectos,12,Cerambycidae,Phoracantha recurva,Terrestre,Exótica,Presente,,,,,251542
1004INVAS,Insectos,12,Cerambycidae,Phoracantha semipunctata,Terrestre,Exótica,Presente,,,,,111394
