No Selectiva@10@8008569
No Selectiva@10@8005946
No Selectiva@10@8019371
No Selectiva@10@8005989
No Selectiva@10@8005995
No Selectiva@10@8005996
No Selectiva@10@8009226
No Selectiva@10@8008535
No Selectiva@10@8007106
No Selectiva@10@8007139
No Selectiva@10@8007213
No Selectiva@10@8007221
No Selectiva@10@8006057
No Selectiva@10@
No Selectiva@10@8006064
No Selectiva@10@8006074
No Selectiva@10@8007312
Intermedia@5@8006666
No Selectiva@10@8006077
No Selectiva@10@8006079
No Selectiva@10@8006081
No Selectiva@10@8006082
No Selectiva@10@8007314
No Selectiva@10@8007323
No Selectiva@10@8006135
No Selectiva@10@8006136
No Selectiva@10@8007343
No Selectiva@10@8006154
No Selectiva@10@8006155
No Selectiva@10@8007344
No Selectiva@10@8007403
No Selectiva@10@8006173
No Selectiva@10@8007519
No Selectiva@10@
No Selectiva@10@8006183
No Selectiva@10@8007521
No Selectiva@10@8006185
No Selectiva@10@8006186
No Selectiva@10@8006188
No Selectiva@10@8006190
No Selectiva@10@8006191
No Selectiva@10@8007548
No Selectiva@10@8006207
No Selectiva@10@8006208
No Selectiva@10@8006209
No Selectiva@10@8007550
No Selectiva@10@8007582
No Selectiva@10@8007584
No Selectiva@10@8006213
No Selectiva@10@8010079
No Selectiva@10@8006217
No Selectiva@10@8007636
No Selectiva@10@8007742
No Selectiva@10@8006221
No Selectiva@10@8006225
No Selectiva@10@8007757
No Selectiva@10@8006228
No Selectiva@10@8006229
No Selectiva@10@8006230
Selectiva@0@8006231
No Selectiva@10@8006232
No Selectiva@10@8006234
No Selectiva@10@8006235
No Selectiva@10@8006236
No Selectiva@10@8006247
No Selectiva@10@8007758
No Selectiva@10@8006258
No Selectiva@10@8006261
No Selectiva@10@8006262
No Selectiva@10@8006263
No Selectiva@10@8007799
Selectiva@0@8006271
Selectiva@0@8006273
No Selectiva@10@8006274
No Selectiva@10@8006275
No Selectiva@10@8006276
Selectiva@0@8006277
No Selectiva@10@8006278
No Selectiva@10@8006280
No Selectiva@10@8006288
No Selectiva@10@8007832
No Selectiva@10@8007841
No Selectiva@10@8006297
No Selectiva@10@8006298
No Selectiva@10@8007938
No Selectiva@10@8006313
No Selectiva@10@8007996
No Selectiva@10@8006388
No Selectiva@10@8009045
No Selectiva@10@8006395
No Selectiva@10@8008000
Selectiva@0@8006411
No Selectiva@10@8006454
No Selectiva@10@8006455
No Selectiva@10@8008002
No Selectiva@10@8006458
No Selectiva@10@8006459
Selectiva@0@8006460
No Selectiva@10@8006461
No Selectiva@10@8006463
No Selectiva@10@8006466
No Selectiva@10@8006523
No Selectiva@10@8006524
No Selectiva@10@8006525
No Selectiva@10@8006526
No Selectiva@10@8006527
No Selectiva@10@8006529
No Selectiva@10@8008007
No Selectiva@10@8008048
No Selectiva@10@8006541
