Grupo,Familia,Nombre científico,Sinónimos,Nombre común,Ambiente,Distribución Nativa,Distribución Invasora,Origen,Presencia,Estatus,Regulada por otros instrumentos,Ficha,enciclovida_id
Plantas,,Anagallis arvensis,"Anagallis arabica, Anagallis carnea, Anagallis hadidii, anagallis indica, Anagallis latifolia, Anagallis jacquermontii, Anagallis mas, Anagallis punctifolia, Anagallis repens, Anagallis verticillata, Anagallis pulchella, Anagallis phoenicea",,Terrestre,"Europa, Asia (Vibrans, 2009)","Aguascalientes, Baja California Norte, Baja California Sur, Chiapas, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Estado de México, Michoacán, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, San Luís Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz (Villaseñor y Espinosa, 1998).",Exótica,Presente,,,,166750
Plantas,,Anaphalis margaritacea,Anaphalis cinnamomea (DC.) C.B. Clarke; Anaphalis margaritacea var. cinnamomea (DC.) Herder ex Maxim.; Anaphalis timmua D. Don; Anaphalis timmua D. Don;  Antennaria cinnamomea DC.,,Terrestre,"China, Japón, Corea, Rusia, Bután, India, Nepal, Paquistán, Canadá, Estados Unidos, México (Baja California Norte) (USDA, ARS 2015)",,Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,199266
Plantas,,Andropogon gayanus,Andropogon guineensis Steud,"Gamba grass, Bluestem, Tambuki grass",Terrestre,"África tropical (Vibrans, 2009)",,Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,201333
Plantas,,Annona cherimola,,,Terrestre,"Sudamérica (Villaseñor & Espinosa-García, 2004)","Morelos (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,162769
Plantas,,Anthemis cotula,,,Terrestre,"Armenia, Azerbaiyán, Irán, Iraq, Jordania, Líbano Arabia Saudita, Siria, Turquía, Algeria, Egipto, Libia, Marruecos, Túnez, Grecia, Hungría, Italia, Portugal, Rumania, Rusia, España (CABI 2016)","Valle Kashmir, India, Baja California (Villaseñor et al., 2012)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,180276
Plantas,,Anthoxanthum aristatum,,Pasto,Terrestre,"África, Macaronesia, Azores, Islas Canarias, Marruecos, Islas del Este del Mar Egeo, Sureste de Europa (Albania, Bulgaria, Italia, Yugoslavia) y Suroeste de Europa (Baleares, Croacia, Francia, Portugal, Serdeña y España) (eMonocot Team, 2016)",,Exótica,Por confirmar,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,x,201353
Plantas,,Anthoxanthum odoratum,Anthoxanthum odoratum var. altissimum Eaton; Anthoxanthum pilosum DÃ¶ll; Anthoxanthum villosum Dumort; Xanthonanthos odoratum (L.) St.-Lag.,"Pasto, alpistillo, grama de olor",Terrestre,"Eurasia (PIER 2009), Europa, Asia y  África (CABI 2016)","Australia, Hawaii, Nueva Zelanda, Chile, Estados Unidos (PIER, 2009)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,x,176608
Plantas,,Apera spica-venti,,,Terrestre,"Europa y el oeste de Asia (Mabberley, 1997)","Norteamérica, Europa en localidades aisladas de la flora de la región (Mabberley, 1997)",Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT,x,201476
Plantas,,Apium graveolens,,Wild celery,Terrestre,"Eurasia (Vibrans, 2009)","México (Baja California Norte, Baja California Sur, Coahuila, Distrito Federal, Durango, Jalisco, Estado de México, Nuevo León, Veracruz) (Vibrans, 2009)",Exótica,Presente,,,,162796
Plantas,,Apium nodiflorum,,,Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)","Aguascalientes (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,201315
