Grupo,Familia,Nombre científico,Sinónimos,Nombre común,Ambiente,Distribución Nativa,Distribución Invasora,Origen,Presencia,Estatus,Regulada por otros instrumentos,Ficha,enciclovida_id
Peces,,Channa micropeltes,,cabeza de serpiente,Dulceacuícola,"Ríos del suroeste de India, Camboya, Indonesia,Tailandia, Laos, Vietnam, Malasia, Sumatra, Java (Mendoza-Alfaro et al., 2010)","Estados Unidos, China, Filipinas (Courtenay & Williams, 2004)",Exótica,Confinado,Invasora,,x,37114
Peces,,Channa striata,"Channa striatus, (Bloch, 1793); Ophiocephalus wrahl Lacepede, 1801; Ophiocephalus chena, Hamilton 1822; Ophiocephalus planiceps Cuvier, 1831; Ophiocephalus sowarah, Bleeker, 1845; Ophiocephalus vagus, Peters, 1868;",,Dulceacuícola; Salobre,"Pakistán, India, Sri Lanka, Bangladesh, Myanmar, Tailandia, Cambodia, sur de China, Archipiélago Malayo (Mendoza-Alfaro et al., 2010)","Hawaii, Corea, Madagascar, Papua Nueva Guinea, Filipinas, Estados Unidos (Courtenay & Williams, 2004)",Exótica,Por confirmar,Invasora,,x,156513
Peces,,Chirostoma spp.,,,Dulceacuícola,,,Exótica,,,,,
Plantas,Rubiaceae,Galium spurium,,False Cleavers,Terrestre,"Egipto, Libia, Marruecos, Armenia, Azerbaiyán, Georgia, Federación Rusia, China, Japón, Corea, Kazakstán, Kirguistán, Tayikistán, Turkmenistán, Uzbekistán, Mongolia, Afganistán, Egipto, irán, Irak, Líbano, Siria, Turquía, Pakistán, Bielorrusia, Estonia, Latvia, Lituania, Moldava, Ucrania, Austria, Bélgica, República Checa, Alemania, Hungría, Polonia, Suiza, Dinamarca, Finlandia, Noruega, Suiza, Albania, Bulgaria, Croacia, Grecia, Italia, Rumania, Eslovenia, Francia, Portugal, España (USDA, ARS 2015).",,Exótica,Por confirmar,Invasora,Acuerdo especies exóticas SEMARNAT,x,229916
Peces,,Clarias spp.,,,Dulceacuícola,,,Exótica,Presente,Invasora,,,
Peces,,Colossoma macropomum,"Colossoma marcopomum (Cuvier, 1818); Colossoma nigripinnis (Cope, 1878); Colossoma oculus (Cope, 1872), Myletes nigripinnis Cope, 1878; Myletes oculus Cope, 1872; Piaractus nigripinnis (Cope, 1878)","Pacú, tambaqui",Dulceacuícola,"Cuenca de los ríos amazonas y Orinoco en América del Sur (Nico & Neilson, 2015)",,Exótica,Presente,Invasora,,x,37364
Peces,,Ctenopharyngodon idella,"Ctenopharingodon idella (Valenciennes, 1844), Ctenopharyngodon idellus (Valenciennes, 1844), Ctenopharyngodon laticeps (Valenciennes, 1844), Leuciscus idella (Valenciennes in Cuvier and Valenciennes, 1844), Leuciscus idella (Valenciennes, 1844)",Carpa herbívora,Dulceacuícola,"China, Russian Federation (GISD 2005)","Jalisco (Chapala), Edo. México (Sta. Ma. del Llano), Nuevo. León (Presa La Boca), Chiapas (Ríos Lacanjá y Usumacinta), Michoacán (Pátzcuaro), Puebla (Puebla) y Tamaulipas (Río Soto La Marina), Belarus, Grecia (Rodiles, 1999; Lanza- Espino, 1990).",Exótica,Presente,Invasora,,x,37110
Peces,,Cyprinella lutrensis,"Leuciscus lutrensis Baird and Girard, 1853; Notropis lutrensis (Baird and Girard, 1853)",Carpita roja,Dulceacuícola,"EUA y NE México. Cuenca del Mississippi desde el sur de Wisconsin y este de Indiana hasta Dakota del Sur y Wyoming, al sur hasta Louisiana, vertiente del Golfo de México desde el oeste del Mississippi al Río Bravo, Texas, Nuevo México y Colorado. (Contreras-Balderas & Escalante, 1984).","Baja California y Sonora (Bajo Río Colorado) (Contreras-Balderas & Escalante, 1984). Estados Unidos y en el noroeste de México en el bajo Colorado y en el río Yaqui.",Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,28844
Peces,,Cyprinodon spp.,,cachorritos,Dulceacuícola; Marino; Salobre,,,Exótica,,,,,
Peces,,Cyprinus carpio,"Cyprinus carpio Linnaeus, 1758;Cyprinus carpio susp communis Linnaeus, 1758, Carassioides acuminatus carpio, Cyprinus carpio carpio","Carpa/  Common Carp; Carpa espejo, Carpa común","Dulceacuícola, Salobre","Europa: Armenia, Austria, Bulgaria, República Checa, Georgia, Mongolia, Ucrania (Froese & Pauly, 2008) Europa, este y sur de Asia (Kohlmann et al., 2003)","Albania, Argentina, Australia, Bélgica, Bolivia, Brasil, Canadá, Chile, Colombia, Costa Rica, Croacia, Cuba, Dinamarca, República Dominicana, Egipto, El Salvador, Etiopia, Finlandia, Francia, Guatemala, Haití, Hawái, Honduras, India, Indonesia, Israel (Froese & Pauly, 2008)",Exótica,Presente,Invasora,,,28878
Peces,,Cyprinus rubrofuscus,,,Dulceacuícola,,,Exótica,Presente,,,,37133
Peces,,Cyprinus rubrofuscus,,Carpa barrigona,Dulceacuícola,"Asia, China, Laos, Mongolia, Vietnam (Froese & Pauly, 2009)",,Exótica,Presente,Invasora,,x,37133
Peces,,Danio rerio,"Brachydanio rerio (Hamilton, 1822); Cyprinus rerio Hamilton, 1822",Pez cebra o Danio cebrado,Dulceacuícola,"Asia: Bangladesh, Bután, India, Myanmar, Nepal y Pakistán (Froese & Pauly, 2009)","Colombia, Japón, Martinica, Sri Lanka y Estados Unidos (Froese & Pauly, 2009)",Exótica,Presente,Invasora,,x,37130
Peces,,Dorosoma cepedianum,"Chatoessus ellipticus Kirtland 1838, Chatoessus insociabilis Abbott 1861, Clupea heterurus Rafinesque 1818, Dorosoma cepedianum (Lesueur, 1818), Dorosoma notata Rafinesque 1820, Megalops bimaculata Lesueur 1847",Sardina molleja,Dulceacuícola,"Canadá, EUA y E México. Nativa del río Conchos (Contreras, 1996)",,Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,28961
Peces,,Dorosoma petenense,"Chatoessus mexicanus Günther 1868, Meletta petenensis Günther 1867, Signalosa atchafalayae Evermann & Kendall 1898, Signalosa atchafalayae vanhyningi Weed 1925, Signalosa mexicana campi Weed 1925",Sardina maya,Dulceacuícola,"En México se extiende por toda la costa del Golfo de México (incluido el río Bravo) y el Caribe hasta Guatemala y Belice (Contreras Balderas, 1996)","En la Presa Rodrigo Gómez, Nuevo León (Contreras, 1995). Ha invadido desde Estados Unidos en el bajo río Colorado, B. C., Sonora (Miller et al., 2009).",Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,28962
Peces,,Fundulus zebrinus,,Pez cebra,Dulceacuícola,"Estados Unidos de América (Fuller, 2015)","Chihuahua (Río Conchos) (Contreras, 1996)",Exótica,Presente,Invasora,,x,37145
Peces,,Gila orcuttii,"Gila orcutti (Eigenmann and Eigenmann, 1890)","Carpita de arroyo, arroyo chub",Dulceacuícola,"Estados Unidos (Froese & Pauly, 2009)",,Exótica,Presente,Invasora,,x,37122
Peces,,Gila spp.,,,Dulceacuícola,,,Exótica,,,,,
Peces,,Hemichromis guttatus,,"Pez joya, mojarra joya africana",Dulceacuícola; Salobre,"África: Camerún, Nigeria, Togo, Sudáfrica, Costa de Marfíl, Ghana (Froese & Pauly, 2009)","Coahuila (Espinosa-Pérez & Ramírez, 2015)",Exótica,Presente,Invasora,,x,37106
Peces,,Hemichromis letourneuxi,,,Dulceacuícola,"Norte y noroeste de África (Nico et al., 2016).","Floria, Estados Unidos  (Díaz-Ferguson et al., 2014)",Exótica,Presente,,,,239700
Peces,,Heterandria spp.,,,Dulceacuícola,,,Exótica,,,,,
Peces,Cyprinidae,Hypophthalmichthys molitrix,"Hypophthamichthys microlepsis (Steindachner, 1869); Abramocephalus microlepis Steindachner, 1869, Hypothamicthys molitrix (Valenciennes, 1844) , Leuciscus hypophthalmus Richardson, 1945, Leuciscus molitrix Valenciennes, 1844",Carpa plateada,Dulceacuícola,Asia (China y Hong Kong) (Foese & Pauly 2009),"México: Hidalgo, Edo. de México, Michoacán y Tamaulipas, Afganistán, Argentina, Belgica, Brasil, Costa Rica, Cuba, República Dominicana, República Checa, Etiopia, Alemania, Grecia, Honduras, India, Italia, Jamaica, Japón, Nueva Zelanda, Panamá, Perú, Puerto Rico, Rumania, Sudáfrica, Estados Unidos (Froese & Pauly 2009).",Exótica,Presente,Invasora,,x,135284
Peces,,Hypophthalmichthys nobilis,"Aristichthys nobilis (Richardson, 1845) , Hypophthalmichthys mantschuricus Kner, 1867 , Leuciscus nobilis Richardson, 1845",Carpa cabezona,Dulceacuícola,China y Croacia (Froese & Pauly 2009),"Afganistán, Albania, Bulgaria, República Checa, Dinamarca, Grecia, Hong Kong, India, Indonesia, Irán, Israel, Italia, Japón, República de Corea, México (Lanza-Espino & Arredondo, 1990), Pakistán, Filipinas, Rumani, Federación Rusa, Checoslovaquia, Suecia, Tailandia, Vietnam, Estados Unidos (Froese & Pauly, 2009) Algeria, Armenia, Nepal, Singapur, Sri Lanka, Cambodia, Costa Rica, Cuba, Perú, Estados Unidos (GISD, 2010)",Exótica,Presente,Invasora,,x,37119
Peces,,Hyporhamphus spp.,,,Marino,,,Exótica,,,,,
Peces,,Hypostomus plecostomus,,Pleco,"Dulceacuícola (Eschmeyer, W. N.,  R. Fricke, and R. van der Laan (eds) 2015.)","Sudamérica: Brasil, Guyana y Surinam (Froese & Pauly, 2009)","Bangladesh, Malasia, Filipinas, Sri Lanka, Taiwán, Tailandia, Estados Unidos y Vietnam (Froese & Pauly, 2009)",Exótica,Presente,Invasora,,x,37125
Peces,Loricariidae,Hypostomus punctatus,,Pleco,"Dulceacuícola (Eschmeyer, W. N.,  R. Fricke, and R. van der Laan (eds) 2015.)","Sudamérica: Brasil (Froese & Pauly, 2009)",,Exótica,Ausente,Invasora,,x,
Peces,,Hypsoblennius invemar,,,Marino,"Brasil, Colombia, Panama, Estados Unidos, Venezuela y Bolivia (Williams etal., 2014; Schofield, 2016).",,Exótica,Presente,,,,239699
Peces,Centrarchidae,Lepomis auritus,,Pez sol garganta roja,Dulceacuícola,"EUA (costa Atlántica) y Canadá (Froese & Pauly, 2009)",,Exótica,Presente,Invasora,,x,
Peces,,Lepomis gulosus,"Lepomis gulosus (Cuvier, 1829); Pomotis gulosus Cuvier, 1829; Chaenobryttus gulosus Cuvier, 1829","Mojarrón, mojarra golosa",Dulceacuícola,"Estados Unidos (Page & Burr, 1991)","Puerto Rico (Martin & Patus, 1984), Canadá (Coker & Minns 2001) México: Valle de México  Chihuahua, Coahuila, Aguascalientes y Tamaulipas (Welcomme, 1988).",Exótica,Presente,Invasora,,x,37105
Peces,,Lepomis marginatus,,Pez sol dólar,Dulceacuícola,"Norteamérica, EUA (Texas y Florida) (Contreras, 1996)","Chihuahua (Cuenca baja del Río Conchos) (Contreras, 1996)",Exótica,Presente,Invasora,,x,30819
Peces,,Lepomis microlophus,,Mojarra oreja roja,Dulceacuícola,"EUA (Contreras, 1996 )","Río Papigochi (Contreras, 1996)",Exótica,Presente,Invasora,,x,29526
Peces,Centrarchidae,Lepomis punctatus,"Bryttus punctatus (Valenciennes, 1831)",Pez sol manchado,Dulceacuícola,"EUA (Froese & Pauly, 2009)",,Exótica,Presente,Invasora,,x,
Plantas,Lythraceae,Lythrum salicaria,,salicaria púrpura,Terrestre,"Argelia, Marruecos, Tunisia, Armenia, Azerbaijan, Georgia, Federación Rusia, China, Japón, Mongolia, Afghanistán, Iran, Israel, Jordania, Líbano, Siria, Turquía (USDA, ARS,National Genetic Resources Program. 2015)","Australia, Canadá, Etiopía, Nueva Zelanda, Sudáfrica, Estados Unidos (GISD, 2010); Baja California (Bonilla-Barbosa & Santamaría, 2013)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,229913
Peces,,Membras martinica,Atherina martinica,Pejerrey rasposo,Marino,"EUA y costa NE México (Contreras, 1996)","Río Bravo en las Presas Falcón y Amistad (Howells, 2001)",Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,29660
Peces,,Menidia beryllina,Chirostoma beryllinum,"Charal plateado, plateadito salado",Dulceacuícola; Salobre; Marino,"Norte y oeste hasta la cuenca del río Bravo, México-Estados Unidos, de ahí hacia el sur hasta el bajo río Pánuco y la laguna de Tamiahua, Tamaulipas-Veracruz (Miller et al., 2009).",,Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,29666
Peces,,Menidia spp.,,,Marino; Salobre; Dulceacuícola,,,Exótica,Por confirmar,,,,
Peces,,Micropterus dolomieu,"Micropterus dolomieui LacepÃ¨de, 1802, Chichla fasciata Lesueur 1822, Bodianus achigan Rafinesque, 1817, Cichla minima Lesueur, 1822",Lobina de boca pequeña,Dulceacuícola,"Canadá y EUA (Froese & Pauly, 2009)","México: Nuevo León (Presa El Cuchillo), Austria, Belgica, Belice, República Checa, Alemania, Hawai, Japón, Checoslovaquia, Sudáfrica, Tanzania y Vietnam (Froese & Pauly 2009)",Exótica,Presente,Invasora,,x,37362
Peces,,Misgurnus anguillicaudatus,"Cobitis anguillicaudata (Cantor, 1842); Misgurnus anguillicaudatus anguillicaudatus (Cantor, 1842); Misgurnus multimaculatus (Rendahl, 1944); Ussuria leptocephala (Nikolskii, 1903)","Locha oriental, pez oriental",Dulceacuícola,"Asia: Camboya, China, Hong Kong, India, Japón, República de Corea, Taiwan, Tailandia, Vietnam (Froese & Pauly, 2009)","Australia, Alemania, Hawai, Italia, Filipinas, Estados Unidos (Froese & Pauly 2009); Palau, Filipinas, España, Turkmenistán (GISD, 2010)",Exótica,Presente,Invasora,,x,37083
Peces,,Morone chrysops,Morone saxatilis X Morones chrysops,Lobina blanca,Dulceacuícola,"Canadá y EUA (Contreras, 1996).","Tamaulipas (Contreras, 1996).",Exótica,Presente,Invasora,,x,37101
Peces,,Morone saxatilis,"Morone saxatilis X Morone chrysops; Morone lineatus (Bloch, 1792); Roccus saxatilis (Walbaum, 1792)","Lobina rayada, robalo blanco",Dulceacuícola,"Canadá y EUA (Contreras, 1996).","Chihuahua, al río bravo (Contreras, 1996).",Exótica,Presente,Invasora,,x,37135
Peces,,Mylopharyngodon piceus,"Barbus tonkinensis Sauvage 1884, Leucisculus fuscus Oshima 1920, Leuciscus aethiops Basilewsky 1855, Leuciscus dubius Bleeker 1865, Myloleuciscus aethiops (Basilewsky, 1855), Mylopharyngodon aethiops (Basilewsky, 1855), Mylopharyngodon pisceus Richardson",Carpa negra,Dulceacuícola,"China, Hong Kong, Vietnam, Federación Rusa (Froese & Pauly, 2009)","México (Huckstorf, 2012) Edo. De México (Sta. María del Llano) y numerosas localidades en el centro de México, Armenia, Bulgaria, Costa Rica, Cuba, Japón, Panama, Ucrania, Estados Unidos (Froese & Pauly 2009).",Exótica,Presente,Invasora,,x,37363
Peces,,Naso lituratus,,,Marino,"Samoa, Australia, Camboya, China, Isla de Navidad, Islas Cook, Fiji , Francia, Polinesia francesa, Guam, Indonesia, Japón, Malasia, Islas Marshall, Micronesia, Nueva Caledonia, Islas Marianas  del Norte, Palau, Papúa Nueva Guinea, Filipinas, Singapur, Islas Salomón, Taiwán, China, Tailandia, Estados Unidos (Hawaii), Vanuatu, Vietnam (Mcllwain et al., 2012).",,Exótica,Presente,,,,239703
Peces,,Neogobius melanostomus,"Gobius affinis Eichwald, 1831; Neogobius cephalarges",,Dulceacuícola; Salobre,"Mar Negro y mar Caspio (Okolodkov et al., 2007).","Río Mississippi (Odkolodkov et al., 2007)",Exótica,Por confirmar,Invasora,,x,37113
Peces,,Neopomacentrus cyanomos,,Damisela,Marino,"Mar Rojo, este de África, Filipinas, sur de Japón y hasta el norte de Australia y Melanesia (Johnston & Akins, 2016).","Atlántico tropical muy creca de Coatzacoalcos, Veracruz (González Gándara & de la Cruz-Francisco, 2014)",Exótica,Presente,,,,239705
Peces,Cyprinidae,Megalobrama amblycephala,,Carpa brema,Dulceacuícola,China (Froese & Pauly 2009),"Japón y Taiwan (Froese & Pauly 2009).
Introducida a México de China en 1979 (Lanza-Espino & Arredondo, 1990).",Exótica,Por confirmar,Invasora,,x,135286
Peces,,Oncorhynchus mykiss,"Onchorynchus mykiss (Walbaum, 1792); Salmo mykiss Walbaum, 1792; Salmo penshinensis Pallas, 1814",Trucha arcoiris,Dulceacuícola; Salobre; Marino,"Originario de Norteamérica, desde el río Kuskokwim, (Alaska) hasta el río Santo Domingo, O. mykiss nelsoni, la trucha arcoiris de Baja California se distribuye en la Sierra de San Pedro Mártir, Baja California, México (Rush-Miller, 2009).","Introducida para acuacultura en el resto de la República (Rush-Miller, 2009)",Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,29898
Peces,,Oncorhynchus tshawytscha,,,Dulceacuícola; Marino,,,Exótica,Presente,,,,239698
Peces,,Oreochromis aureus,"Tilapia aurea (Steindacher, 1864), Chromis aureus Steindachner 1864, Tilapia lemassoni Blache & Miton 1960, Tilapia nilotica exul Stinitz 1951, Sarotherodon aureus (Steindachner, 1864)",Tilapia azul,Dulceacuícola; Salobre,"África tropical y subtropical y Medio Oriente (Contreras, 1996; Salgado, 2000).","Tamaulipas, Nuevo León, Durango, Coahuila, Tabasco, Chiapas, Oaxaca, Michoacán, Colima, San Luis Potosi, Querétaro, Hidalgo, Guerrero, Jalisco, Veracruz y Morelos (Contreras, 1996; Salgado, 2000).",Exótica,Presente,Invasora,,x,29949
Peces,,Oreochromis mossambicus,"Sarotherodon mossambicus (Peters, 1852); Tilapia mossambica (Peters, 1852)",Tilapia mozambica,Dulceacuícola; Salobre,"SE África (Contreras, 1996)","Quintana Roo, Querétaro, San Luis PotoSi, Veracruz, Hidalgo, Michoacán, Sinaloa, Guerrero, Nayarit, Colima, Jalisco, Puebla, Chiapas, Guanajuato, Durango y Tabasco (Contreras, 1996).",Exótica,Presente,Invasora,,x,29950
Peces,,Oreochromis niloticus,"Tilapia nilotica (Linnaeus, 1758), Oreochromis niloticus niloticus",Tilapia del Nilo,"Dulceacuícola, Salobre","África tropical y subtropical y Medio Oriente (Rodiles, 1999)","San Luis Potosí, Guerrero, Veracruz, Oaxaca, Campeche, Quintana Roo, Chiapas, Tabasco y Yucatán (Rodiles, 1999)",Exótica,Presente,Invasora,,x,29951
Peces,,Oreochromis spp.,,Mojarra tilapia,Dulceacuícola,,,Exótica,Presente,,,,
Peces,,Oreochromis urolepis,"Tilapia urolepsis, Tilapia hornorum  Norman, 1922; Oreochromis urolepis urolepis,  Oreochromis urolepis, T. hornorum","Tilapia wami
Tilapia híbrida",Dulceacuícola,"África, Tanzania y Uganda (Froese & Pauly, 2009)","Brasil, Colombia, Costa Rica, Costa de Marfil, Cuba, República Checa, República Dominicana, El Salvador, Fiji, Guatemala, Honduras, Japón, México, Nicaragua, Panamá, Perú, Puerto Rico, Eslovaquia, Sri Lanka, Taiwán,  Estados Unidos (Froese & Pauly, 2009)",Exótica,Presente,Invasora,,,37143
Peces,Cyprinidae,Notemigonus crysoleucas,"Notemigonus crysoleucas crysoleucas (Mitchill, 1814)",Carpita dorada,Dulceacuícola,"EUA (Contreras, 1996)","Tamaulipas (Bajo Río Bravo), Nuevo León (Presa Marte R. Gómez) (Contreras, 1996)",Exótica,Por confirmar,Invasora,,x,
Peces,Cichlidae,Oreochromis urolepis subsp. hornorum,,,Dulceacuícola; Salobre,,,Exótica,Presente,Invasora,,x,
Peces,,Osmerus mordax,,,Dulceacuícola,,,Exótica,Presente,,,,29957
Peces,Cichlidae,Oreochromis urolepis subsp. urolepis,,,Dulceacuícola; Salobre,,,Exótica,Presente,Invasora,,x,
Peces,,Pangasianodon gigas,Pangasius paucidens  Fang [P.-W.] & Chaux [J.] in Chaux & Fang 1949:344,,Dulceacuícola,"Camboya, Laos, Tailandia, Vietnam (Hogan, 2013). Cuenca del Mekong (Eschmeyer, 1998)",,Exótica,Por confirmar,Invasora,,,
Peces,,Pangasius spp.,,,Dulceacuícola,,,Exótica,Presente,Invasora,"Importación prohibida (CONAPESCA, 2017)",,
Peces,,Pangasianodon hypophthalmus,,Tiburón pangasio,Dulceacuícola,"Asia: Cambodia; República Democrática de Lao; Tailandia; Vietnam (Vidthayanon & Hogan 2013). Cuenca del Mekong y Río Chao Phraya Tailandia (Eschmeyer, 1998)","Indonesia, Malasia, Myanmar  (Vidthayanon & Hogan 2013).",Exótica,Presente,Invasora,,,37108
Peces,,Pangasius bocourti,,,Dulceacuícola,"Camboya, China, Laos, Tailandia, Vietnam (Vidthayanon, 2013)",,Exótica,Por confirmar,Invasora,,,
Peces,,Parachromis managuensis,"Cichlasoma managuense, Günther, 1867; Herichthys managuense, Günther, 1867; Heros managuensis, Günther, 1867; Nandopsis managuense, Günther, 1867; Parachromis gulosus, Agassiz, 1859.",Ciclido jaguar,Dulceacuícola,"Centroamérica: Honduras y Costa Rica (Froese & Pauly, 2009)","Cuba, El Salvador, Guatemala, Hawai, Mexico, Panama, Filipinas, Puerto Rico, Singapur, Taiwan, Estados Unidos. Establecida en Hawaii, Singapur y México: Tabasco y Campeche (Mendoza-Alfaro et al. 2010).",Exótica,Presente,Invasora,,x,37112
Peces,,Parachromis motaguensis,"Cichlasoma motaguense (Günther, 1867)",Mojarra del Motagua,Dulceacuícola; Salobre,"El Salvador, Guatemala y Honduras (Froese & Pauly, 2009)","Introducido al Sur de México (Río Usumacinta) (Amador del Ángel & Wakida-Kusunoki, 2014)",Exótica,Presente,Invasora,,x,36962
Peces,Loricariidae,Panaque nigrolineatus,"Chaetostomus nigrolineatus Peters, 1877; Cochliodon nigrolineatus (Peters, 1877)",Panaque real,Dulceacuícola,"Sudamérica: cuencas del río Amazonas y Orinoco (Fishbase, 2011)",,Exótica,Por confirmar,Invasora,,x,
Peces,,Platax orbicularis,,,Marino; Salobre,,,Exótica,Confinado,,,,
Peces,,Poecilia reticulata,,Guppy,"Dulceacuícola, Salobre (Eschmeyer et al. 2017)","NE de América del Sur, Las Antillas, Barbados, Vietnam, Timor oriental (Soto,  1999).","Guanajuato, Michoacán, Jalisco, Coahuila, Nuevo León, Michoacán, Guerrero, Morelos, Oaxaca y Nayarit, Baja California Sur. Establecida en Albania (probablemente establecido), Arabia Saudita, Australia, Bangladesh, China, Costa Rica, Cuba, Eslovaquia (probablemente establecido),
Estados Unidos, Federación Rusa, Fiji, Hawaii, Hong Kong, India, Indonesia, Islas Cook, Jamaica, Japón, Kenia, Madagascar, México, Namibia, Nueva Zelanda, Países bajos, Papúa Nueva Guinea, Perú, Polinesia Francesa, Puerto Rico, Reunion, Singapur, Sri Lanka, Tailandia, Uganda, USA, Venezuela, Zambia (Soto, 1999; Mendoza-Alfaro et al. 2010).",Exótica,Presente,Invasora,,x,30087
Peces,,Pomacanthus semicirculatus,"Holacanthus rhomboides Gilchrist & Thompson, 1908",,Marino,"Indo-pacífico oeste, Mar rojo, este de África hasta Samoa, Japón, Australia (Fishbase, 2013)","Estados Unidos (CABI, 2015)",Exótica,Presente,,,,37137
Peces,,Pomoxis annularis,,Robaleta blanca/ Robaleta/white crappie,Dulceacuícola,"Canadá y EUA (Contreras, 1996).","Tamaulipas (Contreras, 1996).",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,30898
Peces,,Pomoxis nigromaculatus,,Robaleta prieta,Dulceacuícola,"Canadá y EUA (Varela, 2005).","Nuevo León (Río Álamo), Sonora (Río Yaqui) y Tamualipas (Bajo Río Bravo)  (Varela, 2005).",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,30132
Peces,,Pseudorasbora parva,,,Dulceacuícola,,,Exótica,,,,,
Peces,,Pterois antennata,Scorpaena antennata,,Marino,"Kenia, Kuwait, Líbano, Macao, Maldivas, Mauricio, Países Bajos, Omán, Portugal, Puerto Rico, Qatar, Arabia Saudita, Singapur, Eslovenia, Sudáfrica, España, Pavo, Emiratos Árabes Unidos, Reino Unido, Estados Unidos, Venezuela, Yemen, Verde y Somalia (BirdLife International, 2009)","Bahamas (Darling, 2011)",Exótica,Ausente,,,,37084
Peces,,Pterois miles,,Pez diablo rojo,Marino,"Océano Ãndico y el Mar Rojo (Schofield et al., 2015) Japón a Micronesia, Australia y Filipinas (USGS, 2015)",,Exótica,Presente,Invasora,,x,37115
Peces,,Pterois volitans,"Pterois zebra Quoy and Gaimard, 1825; Scorpaena volitans (Linnaeus, 1758); Brachirus zebra (Quoy and Gaimard, 1825)",Pez escorpion,Marino,"Australia, China, Islas Cocos, Islas Cook, Fiyi, Polinesia Francesa, Guam, Hong Kong, India, Indonesia, Japón, República de Corea, Malasia, Maldivas, Islas Marshall, Mauricio, Estados Federados de Micronesia, Mozambique, Nueva Caledonia, Nueva Zelanda, Islas Marianas del Norte, Palaos, Papúa de Nueva Guinea, Filipinas,  Islas Pitcairn, Samoa, Seychelles, Sri Lanka, Taiwán, Vanuatu y Vietnam (GISD, 2007; FWRI, 2006).","Costa este de Estados Unidos, Florida, norte y sur de Carolina, Georgia, Nueva York y Cuba (GISD, 2007; Nancoo-Russell, 2007).",Exótica,Presente,Invasora,,x,37144
Peces,,Pterygoplichthys disjunctivus,"Liposarcus disjunctivus Weber, 1991",Pleco o Pez Diablo,Dulceacuícola,"Sudamérica: América del Sur, Bolivia y Brasil (Froese & Pauly, 2009)","Indonesia, Japón, Filipinas, Puerto Rico, Singapur, Taiwán y Estados Unidos (Froese & Pauly, 2009)",Exótica,Presente,Invasora,,x,30931
Peces,,Pterygoplichthys joselimaianus,"Glyptoperichthys joselimaianus, Weber, 1991;",Pleco,Dulceacuícola,"Sudamérica: Brasil  (Froese & Pauly, 2009), Bolivia (Invasive Species Specialist Group ISSG 2015)","India, Filipinas, Puerto Rico, Taiwan, Florida, Texas (GISD, 2015)",Exótica,Presente,Invasora,,x,37366
Peces,,Pterygoplichthys multiradiatus,"Ancistrus multiradiatus (Hancock, 1828); Liposarcus multiradiatus (Hancock, 1828)","Plecos, placastro",Dulceacuícola,"Sudamérica: Cuenca del  río Amazonas (Weber, 2003)","Río Grijalva, Campeche (Wakida-Kusonoki & Amador-del-Angel, 2011)",Exótica,Presente,Invasora,,x,30932
Peces,,Pterygoplichthys pardalis,"Hypostomus pardalis, Liposarcus jeanesianus, Liposarcus pardalis, Liposarcus varius.",Plecos,Dulceacuícola,"Sudamérica: Río Orinoco en Venezuela y Colombia (Okolodkov et al., 2007)","Tabasco incluyendo el sistema de los ríos Grijalva-Usumacinta y Florida (Okolodkov et al., 2007)
Río Palizada, Campeche, México (Wakida-Kusunoki & Amador-del Ángel, 2011).",Exótica,Presente,Invasora,,x,37123
Peces,,Puntius conchonius,Pethia conchonius,Rosy barb,Dulceacuícola,"Asia: Afganistán, Bangladesh, India, Nepal,  Pakistán  (Frose & Pauly 2009)","México, Puerto Rico y Colombia  (Frose & Pauly, 2009)",Exótica,Presente,Invasora,,x,37097
Peces,,Puntius titteya,"Barbus titteya (Deraniyagala, 1929)",Barbo cereza,Dulceacuícola,Sri Lanka (Froese & Pauly 2009),México y Colombia (Frose & Pauly 2009),Exótica,Presente,Invasora,,x,37141
Reptiles,Colubridae,Pantherophis guttatus,,Serpiente del maíz,Terrestre,"Estados Unidos (GISD, 2010).",,Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,229889
Peces,,Salmo salar,,,Dulceacuícola,"Bélgica, Canadá, Dinamarca, Estonia, Finlandia, Francia, Alemania, Irlanda, Italia, Lituania, Noruega, Polonia, Portugal, Federación Rusa, Eslovaquia, España, Suiza, Reino Unido, Estados Unidos (World Conservation Monitoring Centre,  1996).","Argentina, Australia, Chile, Nueva Zelanda (World Conservation Monitoring Centre,  1996).",Exótica,Presente,,,,239696
Peces,,Salmo trutta,,,Dulceacuícola,"Europa, Norte de África, sureste de Asia (GISD, 2010).","Australia, Japón, Sudáfrica (GISD, 2010).",Exótica,Presente,,,,37365
