idCAT,layers,styler,bbox,anio,autor,urlgeoportal,urldescargazip
13532AVES,fruf071dpgw,dp_01g,"-107.657913208008,7.21328592300415,-77.1979064941406,26.3932876586914",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fruf071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fruf071dpgw.zip
13532AVES,falc_rufigw,poly_conabio_conabio_1p,"-109.763229,14.57136,-86.753229,29.06136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=falc_rufigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/falc_rufigw.zip
13533AVES,fspi071dpgw,dp_01g,"-125.324104309082,7.2034740447998,-69.8440933227539,50.4034767150879",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=fspi071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fspi071dpgw.zip
13533AVES,falc_spar_wgw,poly_conabio_conabio_1p,"-117.123229,14.56136,-86.743229,32.72136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=falc_spar_wgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/falc_spar_wgw.zip
13533AVES,falc_spar_sgw,poly_conabio_conabio_1p,"-117.003229,14.71136,-90.473229,32.72136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=falc_spar_sgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/falc_spar_sgw.zip
13533AVES,fal_spgw,aves_ce007,"-117.120879,14.530838,-86.710879,32.690838",2006,Gómez de Silva,http://geoportal.conabio.gob.mx/#!l=fal_spgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fal_spgw.zip
78890ANGIO,fco_presentgw,invasoras,"-117.5,14.5340050259999,-86.708331727,32.7173393079177",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fco_presentgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco_presentgw.zip
78890ANGIO,fco_50r45mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fco_50r45mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco_50r45mdgw.zip
78890ANGIO,fco_50r85mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fco_50r85mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco_50r85mdgw.zip
78890ANGIO,fco_70r45mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fco_70r45mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco_70r45mdgw.zip
