sp,prioridad,Reino,Divisionphylum,Clase,Orden,Familia,genero,especie,sub_sp,idCAT,CategoriaTaxonomica_idCAT,mapa,styler,boubox,clave,anio,autor
"Mimosa luisana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","luisana",,"19187ANGIO","especie","mlu050dpgw","dp_01g","minx=16.9228591918945 miny=-98.9419860839844 maxx=19.6977500915527 maxy=-94.6338195800781","JM050","2015","Camargo-Ricalde et al."
"Mimosa malacophylla",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","malacophylla",,"36078ANGIO","especie","mma050dpgw","dp_01g","minx=21.1238117218018 miny=-106.745597839355 maxx=35.2904815673828 maxy=-93.1455917358398","JM050","2015","Camargo-Ricalde et al."
"Mimosa martindelcampoi",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","martindelcampoi",,"36079ANGIO","especie","mmar050dpgw","dp_01g","minx=21.0725212097168 miny=-102.848838806152 maxx=29.0138721466064 maxy=-97.1407318115234","JM050","2015","Camargo-Ricalde et al."
"Mimosa mollis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","mollis",,"19188ANGIO","especie","mmo050dpgw","dp_01g","minx=15.6565818786621 miny=-102.562309265137 maxx=21.947998046875 maxy=-92.5210418701172","JM050","2015","Camargo-Ricalde et al."
"Mimosa monancistra",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","monancistra",,"36082ANGIO","especie","mmon050dpgw","dp_01g","minx=17.5284271240234 miny=-110.630561828613 maxx=31.7861919403076 maxy=-96.914436340332","JM050","2015","Camargo-Ricalde et al."
"Mimosa pigra pigra",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","pigra","pigra","72651ANGIO","variedad","mpip050dpgw","dp_01g","minx=-55.9788093566895 miny=-106.280487060547 maxx=34.3878631591797 maxy=-34.7971458435059","JM050","2015","Camargo-Ricalde et al."
"Mimosa polyantha",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","polyantha",,"19189ANGIO","especie","mpo050dpgw","dp_01g","minx=14.537672996521 miny=-116.254043579102 maxx=32.7202796936035 maxy=-90.5633926391602","JM050","2015","Camargo-Ricalde et al."
"Mimosa pudica",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","pudica",,"36096ANGIO","especie","mpu050dpgw","dp_01g","minx=-34.9802627563477 miny=-110.01318359375 maxx=28.4530773162842 maxy=-34.7965049743652","JM050","2015","Camargo-Ricalde et al."
"Mimosa tenuiflora",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","tenuiflora",,"36112ANGIO","especie","mte050dpgw","dp_01g","minx=-34.9802589416504 miny=-102.094589233398 maxx=19.8197479248047 maxy=-34.7945785522461","JM050","2015","Camargo-Ricalde et al."
"Mimosa texana filipes",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","texana","filipes","72654ANGIO","variedad","mtef050dpgw","dp_01g","minx=15.6565818786621 miny=-100.404342651367 maxx=23.9645843505859 maxy=-92.5213165283203","JM050","2015","Camargo-Ricalde et al."
"Mimosa texana texana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Mimosa","texana","texana","239336ANGIO","variedad","mtet050dpgw","dp_01g","minx=17.7626953125 miny=-115.567077636719 maxx=37.4877014160156 maxy=-93.1420669555664","JM050","2015","Camargo-Ricalde et al."
"Mimus gilvus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","gilvus",,"13818AVES","especie","mgi071dpgw","dp_01g","minx=12.0554800033569 miny=-96.1310119628906 maxx=21.6054821014404 maxy=-86.0010070800781","JM071","2018","Navarro-Sigüenza et al."
"Mimus gilvus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","gilvus",,"13818AVES","especie","mimu_gilvgw","poly_conabio_conabio_1p","minx=14.56136 miny=-95.683229 maxx=21.61136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Mimus graysoni",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","graysoni",,"13819AVES","especie","mgra071dpgw","dp_01g","minx=18.7161083221436 miny=-111.057395935059 maxx=18.8661117553711 maxy=-110.917388916016","JM071","2018","Navarro-Sigüenza et al."
"Mimus polyglottos",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",,"13820AVES","especie","mpo071dpgw","dp_01g","minx=15.9003763198853 miny=-126.281623840332 maxx=54.1403770446777 maxy=-59.7416229248047","JM071","2018","Navarro-Sigüenza et al."
"Mimus polyglottos",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",,"13820AVES","especie","mimu_polygw","poly_conabio_conabio_1p","minx=15.65136 miny=-117.123229 maxx=32.72136 maxy=-94.373229","CE015","2007","Navarro y Peterson"
"Mimus polyglottos",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",,"13820AVES","especie","mimpol_invgw","poly_conabio_conabio_1p","minx=15.739586 miny=-124.219069 maxx=44.039586 maxy=-69.619069","AE023","2006","Peterson et al."
"Mimus polyglottos",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",,"13820AVES","especie","mimpol_vergw","poly_conabio_conabio_1p","minx=15.839586 miny=-124.119069 maxx=46.639586 maxy=-70.419069","AE023","2006","Peterson et al."
"Mimus polyglottos",5.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",,"13820AVES","especie","mim_pogw","aves_ce007","minx=15.899532 miny=-117.120413 maxx=32.709532 maxy=-94.740413","CE007","2006","Gómez de Silva"
"Mionectes oleagineus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Mionectes","oleagineus",,"14037AVES","especie","mole071dpgw","dp_01g","minx=7.233473777771 miny=-99.4052352905273 maxx=21.7334747314453 maxy=-77.1952285766602","JM071","2018","Navarro-Sigüenza et al."
"Mionectes oleagineus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Mionectes","oleagineus",,"14037AVES","especie","mion_oleagw","poly_conabio_conabio_1p","minx=14.71136 miny=-99.873229 maxx=23.77136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Mionectes olivaceus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Mionectes","olivaceus",,"5690AVES","especie","mol071dpgw","dp_01g","minx=7.25347375869751 miny=-85.5322113037109 maxx=11.0734748840332 maxy=-77.2022018432617","JM071","2018","Navarro-Sigüenza et al."
"Mitrephanes phaeocercus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Mitrephanes","phaeocercus",,"14038AVES","especie","mph071dpgw","dp_01g","minx=7.2885217666626 miny=-109.342529296875 maxx=28.8385238647461 maxy=-77.202522277832","JM071","2018","Navarro-Sigüenza et al."
"Mitrephanes phaeocercus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Mitrephanes","phaeocercus",,"14038AVES","especie","mitr_phaegw","poly_conabio_conabio_1p","minx=15.07136 miny=-109.763229 maxx=29.20136 maxy=-91.463229","CE015","2007","Navarro y Peterson"
"Mitrospingus cassinii",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Thraupidae","Mitrospingus","cassinii",,"3159AVES","especie","mcas071dpgw","dp_01g","minx=7.22867155075073 miny=-85.4955825805664 maxx=12.7586727142334 maxy=-77.2055740356445","JM071","2018","Navarro-Sigüenza et al."
"Mniotilta varia",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta","varia",,"13864AVES","especie","mvai071dpgw","dp_01g","minx=7.20041513442993 miny=-119.221588134766 maxx=40.000415802002 maxy=-77.2015838623047","JM071","2018","Navarro-Sigüenza et al."
"Mniotilta varia",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta","varia",,"13864AVES","especie","mnio_vari_wgw","poly_conabio_conabio_1p","minx=14.56136 miny=-110.003229 maxx=29.13136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Mniotilta varia",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta","varia",,"13864AVES","especie","mnivar_invgw","poly_conabio_conabio_1p","minx=7.239586 miny=-115.019069 maxx=30.639586 maxy=-59.419069","AE023","2006","Peterson et al."
"Mniotilta varia",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta","varia",,"13864AVES","especie","mnivar_vergw","poly_conabio_conabio_1p","minx=29.839586 miny=-124.719069 maxx=63.639586 maxy=-52.619069","AE023","2006","Peterson et al."
"Molossus aztecus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossus","aztecus",,"11216MAMIF","especie","molaztec_agw","mamiferos_ds006","minx=15.6176691055298 miny=-108.197471618652 maxx=26.0971393585205 maxy=-91.7970962524414","DS006","2006","Ceballos et al."
"Molossus molossus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossus","molossus",,"12001MAMIF","especie","molmolos_agw","mamiferos_ds006","minx=14.5376253128052 miny=-104.687805175781 maxx=25.3576278686523 maxy=-90.377799987793","DS006","2006","Ceballos et al."
"Molossus rufus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossus","rufus",,"12286MAMIF","especie","molrufus_agw","mamiferos_ds006","minx=14.5376253128052 miny=-108.507804870605 maxx=26.8976268768311 maxy=-86.7277984619141","DS006","2006","Ceballos et al."
"Molossus sinaloae",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossus","sinaloae",,"12331MAMIF","especie","molsinal_agw","mamiferos_ds006","minx=14.5376253128052 miny=-106.217803955078 maxx=23.3876266479492 maxy=-87.5678024291992","DS006","2006","Ceballos et al."
"Molothrus aeneus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","aeneus",,"13801AVES","especie","maev071dpgw","dp_01g","minx=7.20674657821655 miny=-112.629867553711 maxx=32.7400817871094 maxy=-79.1298599243164","JM071","2018","Navarro-Sigüenza et al."
"Molothrus aeneus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","aeneus",,"13801AVES","especie","molo_aene_wgw","poly_conabio_conabio_1p","minx=14.56136 miny=-110.613229 maxx=30.21136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Molothrus aeneus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","aeneus",,"13801AVES","especie","molo_aene_sgw","poly_conabio_conabio_1p","minx=14.56136 miny=-111.653229 maxx=31.44136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Molothrus ater",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater",,"13802AVES","especie","mati071dpgw","dp_01g","minx=15.8017492294312 miny=-125.875244140625 maxx=50.4417533874512 maxy=-59.9152412414551","JM071","2018","Navarro-Sigüenza et al."
"Molothrus ater",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater",,"13802AVES","especie","molate_invgw","poly_conabio_conabio_1p","minx=16.039586 miny=-124.619069 maxx=51.039586 maxy=-59.819069","AE023","2006","Peterson et al."
"Molothrus ater",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater",,"13802AVES","especie","matv071dpgw","dp_01g","minx=20.6217479705811 miny=-131.95524597168 maxx=59.6217498779297 maxy=-55.255241394043","JM071","2018","Navarro-Sigüenza et al."
"Molothrus ater",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater",,"13802AVES","especie","molate_vergw","poly_conabio_conabio_1p","minx=17.039586 miny=-125.219069 maxx=61.739586 maxy=-60.719069","AE023","2006","Peterson et al."
"Molothrus ater",5.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","ater",,"13802AVES","especie","molo_atergw","poly_conabio_conabio_1p","minx=15.67136 miny=-117.073229 maxx=32.72136 maxy=-94.223229","CE015","2007","Navarro y Peterson"
"Molothrus oryzivorus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","oryzivorus",,"13804AVES","especie","mor071dpgw","dp_01g","minx=7.24220561981201 miny=-97.1723098754883 maxx=19.51220703125 maxy=-77.2023010253906","JM071","2018","Navarro-Sigüenza et al."
"Molothrus oryzivorus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","oryzivorus",,"13804AVES","especie","molo_oryzgw","poly_conabio_conabio_1p","minx=16.07136 miny=-100.103229 maxx=25.43136 maxy=-88.693229","CE015","2007","Navarro y Peterson"
"Momordica charantia",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Cucurbitales","Cucurbitaceae","Momordica","charantia",,"18140ANGIO","especie","mch003dpgw","dp_01g","minx=14.0007495880127 miny=-117.12336730957 maxx=32.575008392334 maxy=-86.7162475585938","JM003","2018","Lira-Saade et al."
"Momotus coeruliceps",1.0000000000000000e+00,"Animalia","Chordata","Aves","Coraciiformes","Momotidae","Momotus","coeruliceps",,"20541AVES","especie","mco071dpgw","dp_01g","minx=18.6649169921875 miny=-100.327903747559 maxx=25.6349182128906 maxy=-96.4878997802734","JM071","2018","Navarro-Sigüenza et al."
"Momotus lessonii",1.0000000000000000e+00,"Animalia","Chordata","Aves","Coraciiformes","Momotidae","Momotus","lessonii",,"20542AVES","especie","mle071dpgw","dp_01g","minx=7.6303768157959 miny=-97.126594543457 maxx=21.6103782653809 maxy=-79.3165817260742","JM071","2018","Navarro-Sigüenza et al."
"Momotus mexicanus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Coraciiformes","Momotidae","Momotus","mexicanus",,"13511AVES","especie","mmex071dpgw","dp_01g","minx=13.5417280197144 miny=-110.812210083008 maxx=30.271728515625 maxy=-88.7922058105469","JM071","2018","Navarro-Sigüenza et al."
"Momotus mexicanus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Coraciiformes","Momotidae","Momotus","mexicanus",,"13511AVES","especie","momo_mexigw","poly_conabio_conabio_1p","minx=15.15136 miny=-109.763229 maxx=29.13136 maxy=-91.703229","CE015","2007","Navarro y Peterson"
"Momotus momota",1.0000000000000000e+00,"Animalia","Chordata","Aves","Coraciiformes","Momotidae","Momotus","momota",,"5462AVES","especie","momo_momogw","poly_conabio_conabio_1p","minx=14.71136 miny=-100.213229 maxx=26.44136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Monasa morphoeus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Piciformes","Bucconidae","Monasa","morphoeus",,"3170AVES","especie","mmo071dpgw","dp_01g","minx=7.25347375869751 miny=-85.9922103881836 maxx=15.9234743118286 maxy=-77.2022018432617","JM071","2018","Navarro-Sigüenza et al."
"Monochaetum alpestre",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Myrtales","Melastomataceae","Monochaetum","alpestre",,"29695ANGIO","especie","mal013dpgw","dp_01g","minx=14.8663167953491 miny=-101.440582275391 maxx=19.7361640930176 maxy=-90.3694763183594","JM013","2015","Villaseñor et al."
"Monochaetum pulchrum",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Myrtales","Melastomataceae","Monochaetum","pulchrum",,"29700ANGIO","especie","mpu013dpgw","dp_01g","minx=14.5609579086304 miny=-105.438774108887 maxx=25.747522354126 maxy=-90.3609848022461","JM013","2015","Villaseñor et al."
"Montanoa bipinnatifida",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Montanoa","bipinnatifida",,"43884ANGIO","especie","mbi002dpgw","dp_01g","minx=14.5661697387695 miny=-116.01399230957 maxx=32.7321128845215 maxy=-90.3650054931641","JM002","2018","Dávila-Aranda et al."
"Montanoa laskowskii",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Montanoa","laskowskii",,"46124ANGIO","especie","mla002dpgw","dp_01g","minx=14.5661697387695 miny=-116.01399230957 maxx=32.7321128845215 maxy=-90.3650054931641","JM002","2018","Dávila-Aranda et al."
"Montanoa revealii",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Montanoa","revealii",,"48133ANGIO","especie","mre002dpgw","dp_01g","minx=14.5661697387695 miny=-105.692077636719 maxx=20.8825855255127 maxy=-90.3676834106445","JM002","2018","Dávila-Aranda et al."
"Mormodes lineata",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Mormodes","lineata",,"23405ANGIO","especie","mli061dpgw","dp_01v","minx=12.7161493301392 miny=-93.9441299438477 maxx=17.19948387146 maxy=-85.2274551391602","JM061","2015","Damon y Bertolini"
"Mormolyca ringens",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Mormolyca","ringens",,"23426ANGIO","especie","mrin061dpgw","dp_01v","minx=9.61939239501953 miny=-97.163459777832 maxx=21.5443954467773 maxy=-83.5301132202148","JM061","2015","Damon y Bertolini"
"Mormoops megalophylla",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Chiroptera","Mormoopidae","Mormoops","megalophylla",,"11909MAMIF","especie","mormegal_agw","mamiferos_ds006","minx=14.5377264022827 miny=-113.067573547363 maxx=31.3369255065918 maxy=-86.7669906616211","DS006","2006","Ceballos et al."
"Morococcyx erythropygus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Morococcyx","erythropygus",,"13521AVES","especie","mer071dpgw","dp_01g","minx=9.48167896270752 miny=-107.042007446289 maxx=25.0016803741455 maxy=-83.9819946289062","JM071","2018","Navarro-Sigüenza et al."
"Morococcyx erythropygus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Morococcyx","erythropygus",,"13521AVES","especie","moro_erytgw","poly_conabio_conabio_1p","minx=14.56136 miny=-107.073229 maxx=24.64136 maxy=-91.563229","CE015","2007","Navarro y Peterson"
"Morphnus guianensis",1.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Morphnus","guianensis",,"13240AVES","especie","mgu071dpgw","dp_01g","minx=7.233473777771 miny=-90.7622146606445 maxx=19.8234748840332 maxy=-77.2022018432617","JM071","2018","Navarro-Sigüenza et al."
"Mortoniodendron guatemalense",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Mortoniodendron","guatemalense",,"18483ANGIO","especie","dis_m_guatgw","arbol_trop","minx=16.080787 miny=-97.440276 maxx=20.120599 maxy=-90.400087",,"2005","Pennington y Sarukhán"
"Moxostoma austrinum",1.0000000000000000e+00,"Animalia","Chordata","Osteichthyes","Cypriniformes","Catostomidae","Moxostoma","austrinum",,"8463PECES","especie","mau017dpgw","dp_01v","minx=18.8470096588135 miny=-105.45686340332 maxx=23.4303417205811 maxy=-99.3068618774414","JM017","2017","Domínguez-Domínguez y Ortega-Rodríguez"
"Muntingia calabura",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Muntingiaceae","Muntingia","calabura",,"33286ANGIO","especie","dis_m_calagw","arbol_trop","minx=14.640855 miny=-106.640516 maxx=23.000477 maxy=-86.71999",,"2005","Pennington y Sarukhán"
"Musonycteris harrisoni",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Musonycteris","harrisoni",,"11654MAMIF","especie","mha053dpgw","dp_01g","minx=15.9899311065674 miny=-105.693870544434 maxx=22.048023223877 maxy=-97.6775131225586","JM053","2016","Ballesteros-Barrera et al."
"Musonycteris harrisoni",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Musonycteris","harrisoni",,"11654MAMIF","especie","musharri_agw","mamiferos_ds006","minx=16.6876258850098 miny=-105.467803955078 maxx=20.1976280212402 maxy=-99.1977996826172","DS006","2006","Ceballos et al."
"Mustela frenata",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","frenata",,"11549MAMIF","especie","musfrena_agw","mamiferos_ds006","minx=14.5376253128052 miny=-117.127807617188 maxx=32.6176300048828 maxy=-86.7677993774414","DS006","2006","Ceballos et al."
"Myadestes melanops",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","melanops",,"5677AVES","especie","mme071dpgw","dp_01g","minx=8.31037616729736 miny=-85.4922103881836 maxx=11.0203771591187 maxy=-81.2122039794922","JM071","2018","Navarro-Sigüenza et al."
"Myadestes occidentalis",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","occidentalis",,"13996AVES","especie","moc071dpgw","dp_01g","minx=13.4396772384644 miny=-109.409423828125 maxx=28.7996788024902 maxy=-86.7394180297852","JM071","2018","Navarro-Sigüenza et al."
"Myadestes occidentalis",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","occidentalis",,"13996AVES","especie","myad_occigw","poly_conabio_conabio_1p","minx=15.05136 miny=-109.763229 maxx=30.56136 maxy=-91.343229","CE015","2007","Navarro y Peterson"
"Myadestes townsendi",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",,"13997AVES","especie","mtoi071dpgw","dp_01g","minx=22.3012447357178 miny=-128.715286254883 maxx=51.7012481689453 maxy=-95.1752777099609","JM071","2018","Navarro-Sigüenza et al."
"Myadestes townsendi",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",,"13997AVES","especie","myad_town_sgw","poly_conabio_conabio_1p","minx=19.56136 miny=-117.123229 maxx=32.72136 maxy=-99.123229","CE015","2007","Navarro y Peterson"
"Myadestes townsendi",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",,"13997AVES","especie","myatow_invgw","poly_conabio_conabio_1p","minx=23.039586 miny=-127.219069 maxx=55.539586 maxy=-92.819069","AE023","2006","Peterson et al."
"Myadestes townsendi",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",,"13997AVES","especie","myatow_vergw","poly_conabio_conabio_1p","minx=21.039586 miny=-153.519069 maxx=67.939586 maxy=-101.819069","AE023","2006","Peterson et al."
"Myadestes unicolor",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","unicolor",,"13998AVES","especie","mun071dpgw","dp_01g","minx=12.7061147689819 miny=-99.530517578125 maxx=21.7261161804199 maxy=-85.3205108642578","JM071","2018","Navarro-Sigüenza et al."
"Myadestes unicolor",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Myadestes","unicolor",,"13998AVES","especie","myad_unicgw","poly_conabio_conabio_1p","minx=15.78136 miny=-99.453229 maxx=21.86136 maxy=-91.243229","CE015","2007","Navarro y Peterson"
"Mycteria americana",1.0000000000000000e+00,"Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Mycteria","americana",,"13474AVES","especie","myct_amergw","poly_conabio_conabio_1p","minx=14.56136 miny=-110.993229 maxx=28.01136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Myiarchus cinerascens",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",,"14039AVES","especie","mcii071dpgw","dp_01g","minx=11.731746673584 miny=-116.581909179688 maxx=33.9150848388672 maxy=-85.273567199707","JM071","2018","Navarro-Sigüenza et al."
"Myiarchus cinerascens",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",,"14039AVES","especie","myia_cine_wgw","poly_conabio_conabio_1p","minx=14.56136 miny=-116.263229 maxx=32.72136 maxy=-91.213229","CE015","2007","Navarro y Peterson"
"Myiarchus cinerascens",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",,"14039AVES","especie","myicin_invgw","poly_conabio_conabio_1p","minx=12.639586 miny=-116.819069 maxx=34.339586 maxy=-85.319069","AE023","2006","Peterson et al."
"Myiarchus cinerascens",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",,"14039AVES","especie","mciv071dpgw","dp_01g","minx=19.6567459106445 miny=-124.381912231445 maxx=52.0234184265137 maxy=-91.6402359008789","JM071","2018","Navarro-Sigüenza et al."
"Myiarchus cinerascens",5.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",,"14039AVES","especie","myia_cine_sgw","poly_conabio_conabio_1p","minx=14.56136 miny=-111.653229 maxx=31.44136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Myiarchus cinerascens",6.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",,"14039AVES","especie","myicin_vergw","poly_conabio_conabio_1p","minx=21.039586 miny=-124.219069 maxx=47.539586 maxy=-97.619069","AE023","2006","Peterson et al."
"Myiarchus cinerascens",7.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",,"14039AVES","especie","myi_cigw","aves_ce007","minx=14.530838 miny=-117.120879 maxx=32.710838 maxy=-86.710879","CE007","2006","Gómez de Silva"
"Myiarchus crinitus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","crinitus",,"14040AVES","especie","mcri071dpgw","dp_01g","minx=7.21018695831299 miny=-96.9690704345703 maxx=21.2101879119873 maxy=-77.202392578125","JM071","2018","Navarro-Sigüenza et al."
"Myiarchus crinitus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","crinitus",,"14040AVES","especie","myia_crin_wgw","poly_conabio_conabio_1p","minx=14.56136 miny=-97.333229 maxx=21.61136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Myiarchus crinitus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","crinitus",,"14040AVES","especie","myicri_invgw","poly_conabio_conabio_1p","minx=6.839586 miny=-98.419069 maxx=30.439586 maxy=-76.419069","AE023","2006","Peterson et al."
"Myiarchus crinitus",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","crinitus",,"14040AVES","especie","myia_crin_tgw","poly_conabio_conabio_1p","minx=14.56136 miny=-102.363229 maxx=29.27136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Myiarchus crinitus",5.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","crinitus",,"14040AVES","especie","myicri_vergw","poly_conabio_conabio_1p","minx=26.039586 miny=-114.219069 maxx=55.239586 maxy=-61.319069","AE023","2006","Peterson et al."
