sp,prioridad,Reino,Divisionphylum,Clase,Orden,Familia,genero,especie,sub_sp,idCAT,CategoriaTaxonomica_idCAT,mapa,styler,boubox,clave,anio,autor
"Acacia melanoxylon",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","melanoxylon",,"77792ANGIO","especie","ame_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Acacia melanoxylon",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","melanoxylon",,"77792ANGIO","especie","ame_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Acacia melanoxylon",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","melanoxylon",,"77792ANGIO","especie","ame_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Acanthagrion quadratum",1.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Acanthagrion","quadratum",,"46987INSEC","especie","aqu006dpgw","dp_01g","minx=12.7161245346069 miny=-102.337524414062 maxx=34.732795715332 maxy=-85.2208557128906","JM006","2018","Córdoba-Aguilar et al."
"Acanthidops bairdi",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Thraupidae","Acanthidops","bairdi",,"3159AVES","especie","abai071dpgw","dp_01g","minx=8.55950164794922 miny=-84.8789978027344 maxx=10.4195022583008 maxy=-82.0489959716797","JM071","2018","Navarro-Sigüenza et al."
"Accipiter bicolor",1.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","bicolor",,"13209AVES","especie","abi071dpgw","dp_01g","minx=7.27347373962402 miny=-99.576789855957 maxx=23.2434749603271 maxy=-77.19677734375","JM071","2018","Navarro-Sigüenza et al."
"Accipiter bicolor",2.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","bicolor",,"13209AVES","especie","acci_bicogw","poly_conabio_conabio_1p","minx=15.99136 miny=-100.213229 maxx=25.54136 maxy=-86.753229","CE015","2007","Navarro y Peterson"
"Accipiter cooperii",1.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","cooperii",,"13210AVES","especie","acoi071dpgw","dp_01g","minx=7.29162979125977 miny=-128.712295532227 maxx=51.7716331481934 maxy=-59.7122802734375","JM071","2018","Navarro-Sigüenza et al."
"Accipiter cooperii",2.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","cooperii",,"13210AVES","especie","acci_coop_wgw","poly_conabio_conabio_1p","minx=14.58136 miny=-117.123229 maxx=32.72136 maxy=-90.383229","CE015","2007","Navarro y Peterson"
"Accipiter cooperii",3.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","cooperii",,"13210AVES","especie","acci_coop_sgw","poly_conabio_conabio_1p","minx=18.91136 miny=-116.713229 maxx=32.57136 maxy=-99.733229","CE015","2007","Navarro y Peterson"
"Accipiter chionogaster",1.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","chionogaster",,"5321AVES","especie","arch071dpgw","dp_01g","minx=11.8969116210938 miny=-94.6339263916016 maxx=17.4769134521484 maxy=-84.9239196777344","JM071","2018","Navarro-Sigüenza et al."
"Accipiter gentilis",1.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","gentilis",,"13211AVES","especie","age071dpgw","dp_01g","minx=19.5443210601807 miny=-179.104431152344 maxx=64.6043243408203 maxy=-59.8244247436523","JM071","2018","Navarro-Sigüenza et al."
"Accipiter gentilis",2.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","gentilis",,"13211AVES","especie","acci_gentgw","poly_conabio_conabio_1p","minx=17.12136 miny=-110.293229 maxx=31.29136 maxy=-99.133229","CE015","2007","Navarro y Peterson"
"Accipiter striatus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","striatus",,"13212AVES","especie","asti071dpgw","dp_01g","minx=7.24347400665283 miny=-170.415252685547 maxx=60.5834770202637 maxy=-52.6552391052246","JM071","2018","Navarro-Sigüenza et al."
"Accipiter striatus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","striatus",,"13212AVES","especie","acci_stri_wgw","poly_conabio_conabio_1p","minx=14.56136 miny=-117.123229 maxx=32.71136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Accipiter striatus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","striatus",,"13212AVES","especie","acci_stri_sgw","poly_conabio_conabio_1p","minx=16.59136 miny=-115.653229 maxx=31.26136 maxy=-95.363229","CE015","2007","Navarro y Peterson"
"Accipiter striatus",4.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","striatus",,"13212AVES","especie","acc_stgw","aves_ce007","minx=14.530838 miny=-117.120879 maxx=32.620838 maxy=-86.710879","CE007","2006","Gómez de Silva"
"Accipiter superciliosus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","superciliosus",,"5321AVES","especie","asu071dpgw","dp_01g","minx=7.233473777771 miny=-86.152214050293 maxx=15.6234750747681 maxy=-77.3022079467773","JM071","2018","Navarro-Sigüenza et al."
"Acianthera circumplexa",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Acianthera","circumplexa",,"26301ANGIO","especie","aci061dpgw","dp_01v","minx=7.20570659637451 miny=-99.3962249755859 maxx=19.130708694458 maxy=-77.6545486450195","JM061","2015","Damon y Bertolini"
"Acosmium panamense",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acosmium","panamense",,"51984ANGIO","especie","dis_a_panagw","arbol_trop","minx=14.640855 miny=-103.840437 maxx=21.360543 maxy=-90.400085",,"2005","Pennington y Sarukhán"
"Acourtia veracruzana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Acourtia","veracruzana",,"49414ANGIO","especie","ave013dpgw","dp_01g","minx=15.8962707519531 miny=-105.253471374512 maxx=25.7394390106201 maxy=-94.7355499267578","JM013","2015","Villaseñor et al."
"Acris crepitans",1.0000000000000000e+00,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","crepitans",,"12577ANFIB","especie","acri_crepgw","poly_conabio_conabio_1p","minx=27.697626 miny=-101.747803 maxx=29.347626 maxy=-100.647804","DS009","2006","Ochoa-Ochoa et al."
"Acrocomia aculeata",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Arecales","Arecaceae","Acrocomia","aculeata",,"35917ANGIO","especie","dis_a_aculgw","arbol_trop","minx=15.7208 miny=-106.04051 maxx=23.680429 maxy=-86.839988",,"2005","Pennington y Sarukhán"
"Actinemys marmorata",1.0000000000000000e+00,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys","marmorata",,"1172REPTI","especie","acty_marmgw","poly_conabio_conabio_1p","minx=32.547626 miny=-116.667801 maxx=32.557625 maxy=-116.647804","DS009","2006","Ochoa-Ochoa et al."
"Actinocheita filicina",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Sapindales","Anacardiaceae","Actinocheita","filicina",,"35489ANGIO","especie","afi002dpgw","dp_01g","minx=14.5661697387695 miny=-106.972465515137 maxx=24.4657745361328 maxy=-90.3647842407227","JM002","2018","Dávila-Aranda et al."
"Actitis macularius",1.0000000000000000e+00,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","macularius",,"13432AVES","especie","acti_macu_wgw","poly_conabio_conabio_1p","minx=14.56136 miny=-117.123229 maxx=32.72136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Achatocarpus gracilis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Achatocarpaceae","Achatocarpus","gracilis",,"18440ANGIO","especie","agra002dpgw","dp_01g","minx=14.5661697387695 miny=-116.01399230957 maxx=32.7321128845215 maxy=-90.3650054931641","JM002","2018","Dávila-Aranda et al."
"Achatocarpus nigricans",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Achatocarpaceae","Achatocarpus","nigricans",,"18441ANGIO","especie","ani002dpgw","dp_01g","minx=14.5661697387695 miny=-106.972465515137 maxx=24.4657745361328 maxy=-86.7565994262695","JM002","2018","Dávila-Aranda et al."
"Achatocarpus oaxacanus",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Achatocarpaceae","Achatocarpus","oaxacanus",,"18442ANGIO","especie","aoa002dpgw","dp_01g","minx=14.0033273696899 miny=-97.8600006103516 maxx=22.6446495056152 maxy=-86.4771194458008","JM002","2018","Dávila-Aranda et al."
"Achimenes misera",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Lamiales","Gesneriaceae","Achimenes","misera",,"28371ANGIO","especie","ami013dpgw","dp_01g","minx=14.8692474365234 miny=-95.0617294311523 maxx=17.6343250274658 maxy=-90.3566665649414","JM013","2015","Villaseñor et al."
"Achyrocline deflexa",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Achyrocline","deflexa",,"44688ANGIO","especie","ade013dpgw","dp_01g","minx=14.8667984008789 miny=-100.038444519043 maxx=19.7367172241211 maxy=-90.3677062988281","JM013","2015","Villaseñor et al."
"Adelia barbinervis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malpighiales","Euphorbiaceae","Adelia","barbinervis",,"12559ANGIO","especie","aba002dpgw","dp_01g","minx=14.0699996948242 miny=-102.330001831055 maxx=26.4611721038818 maxy=-86.3306350708008","JM002","2018","Dávila-Aranda et al."
"Adelia oaxacana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malpighiales","Euphorbiaceae","Adelia","oaxacana",,"12560ANGIO","especie","aoax002dpgw","dp_01g","minx=14.0999994277954 miny=-109.770004272461 maxx=27.0411491394043 maxy=-86.3376007080078","JM002","2018","Dávila-Aranda et al."
"Aechmea mexicana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Aechmea","mexicana",,"19683ANGIO","especie","ame008dpgw","dp_01v","minx=15.8607120513916 miny=-100.559463500977 maxx=22.9821128845215 maxy=-90.3753509521484","JM008","2017","Espejo-Serna et al."
"Aechmophorus clarkii",1.0000000000000000e+00,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","clarkii",,"14163AVES","especie","aech_clarkgw","poly_conabio_conabio_1p","minx=17.79136 miny=-117.123229 maxx=32.65136 maxy=-96.923229","CE015","2007","Navarro y Peterson"
"Aechmophorus occidentalis",1.0000000000000000e+00,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis",,"14164AVES","especie","aech_occigw","poly_conabio_conabio_1p","minx=17.61136 miny=-117.123229 maxx=32.71136 maxy=-97.083229","CE015","2007","Navarro y Peterson"
"Aedes aegypti",1.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti",,"3577DIPTE","especie","aae040dpmgw","dp_rangov","minx=14.5622406005859 miny=-94.1409606933594 maxx=21.6038818359375 maxy=-86.7493133544922","LI040","2018","Moo-Llanes et al."
"Aedes aegypti",2.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti",,"3577DIPTE","especie","aae040dpggw","dp_rangov","minx=14.5539083480835 miny=-94.1409606933594 maxx=21.6122150421143 maxy=-86.7493133544922","LI040","2018","Moo-Llanes et al."
